rule	category	global_count	global_pct	n_texts	top_texts	examples
bhavati tām → tāṃ ślaiṣmikīmiti	anusvāra / nasal	1	0.0	1	Suśrutasaṃhitā(1)	tatra śleṣmāśmarī śleṣmalamannamabhyavaharato 'tyartham upalipyādhaḥ parivṛddhiṃ prāpya bastimukhamadhiṣṭhāya sroto niruṇaddhi tasya mūtrapratighātāddālyate bhidyate nistudyata iva ca bastirguruḥ śītaś ca bhavati aśmarī cātra śvetā snigdhā mahatī kukkuṭāṇḍapratīkāśā madhūkapuṣpavarṇā vā bhavati tāṃ ślaiṣmikīmiti vidyāt tāṃ+ślaiṣmikīmiti
tām ś → ślaiṣmikīmiti ś	consonant / other	1	0.0	1	Suśrutasaṃhitā(1)	tatra śleṣmāśmarī śleṣmalamannamabhyavaharato 'tyartham upalipyādhaḥ parivṛddhiṃ prāpya bastimukhamadhiṣṭhāya sroto niruṇaddhi tasya mūtrapratighātāddālyate bhidyate nistudyata iva ca bastirguruḥ śītaś ca bhavati aśmarī cātra śvetā snigdhā mahatī kukkuṭāṇḍapratīkāśā madhūkapuṣpavarṇā vā bhavati tāṃ ślaiṣmikīmiti vidyāt ślaiṣmikīmiti+ślaiṣmikām
ra ś → ā ś	consonant / other	1	0.0	1	Suśrutasaṃhitā(1)	tatra śleṣmāśmarī śleṣmalamannamabhyavaharato 'tyartham upalipyādhaḥ parivṛddhiṃ prāpya bastimukhamadhiṣṭhāya sroto niruṇaddhi tasya mūtrapratighātāddālyate bhidyate nistudyata iva ca bastirguruḥ śītaś ca bhavati aśmarī cātra śvetā snigdhā mahatī kukkuṭāṇḍapratīkāśā madhūkapuṣpavarṇā vā bhavati tāṃ ślaiṣmikīmiti vidyāt atra→śvetā +snigdhā
śā m → Ø m	consonant / other	1	0.0	1	Suśrutasaṃhitā(1)	tatra śleṣmāśmarī śleṣmalamannamabhyavaharato 'tyartham upalipyādhaḥ parivṛddhiṃ prāpya bastimukhamadhiṣṭhāya sroto niruṇaddhi tasya mūtrapratighātāddālyate bhidyate nistudyata iva ca bastirguruḥ śītaś ca bhavati aśmarī cātra śvetā snigdhā mahatī kukkuṭāṇḍapratīkāśā madhūkapuṣpavarṇā vā bhavati tāṃ ślaiṣmikīmiti vidyāt pratīkāśā→madhūkapuṣpavarṇā +madhūka
i v → Ø v	consonant / other	1	0.0	1	Suśrutasaṃhitā(1)	tatra śleṣmāśmarī śleṣmalamannamabhyavaharato 'tyartham upalipyādhaḥ parivṛddhiṃ prāpya bastimukhamadhiṣṭhāya sroto niruṇaddhi tasya mūtrapratighātāddālyate bhidyate nistudyata iva ca bastirguruḥ śītaś ca bhavati aśmarī cātra śvetā snigdhā mahatī kukkuṭāṇḍapratīkāśā madhūkapuṣpavarṇā vā bhavati tāṃ ślaiṣmikīmiti vidyāt iti→vidyāt +vidyāt
ḥ aśmaryaḥ → ḥ 'śmaryo	visarga	1	0.0	1	Suśrutasaṃhitā(1)	prāyeṇaitāstisro 'śmaryo divāsvapnasamaśanādhyaśanaśītasnigdhagurumadhurāhārapriyatvād viśeṣeṇa bālānāṃ bhavanti teṣāmevālpabastikāyatvād anupacitamāṃsatvācca basteḥ sukhagrahaṇāharaṇā bhavanti mahatāṃ tu śukrāśmarī śukranimittā bhavati tisraḥ+'śmaryo
aśmaryaḥ d → 'śmaryo d	visarga	1	0.0	1	Suśrutasaṃhitā(1)	prāyeṇaitāstisro 'śmaryo divāsvapnasamaśanādhyaśanaśītasnigdhagurumadhurāhārapriyatvād viśeṣeṇa bālānāṃ bhavanti teṣāmevālpabastikāyatvād anupacitamāṃsatvācca basteḥ sukhagrahaṇāharaṇā bhavanti mahatāṃ tu śukrāśmarī śukranimittā bhavati 'śmaryo+divāsvapna
a vastyā → a baste	consonant / other	1	0.0	1	Suśrutasaṃhitā(1)	prāyeṇaitāstisro 'śmaryo divāsvapnasamaśanādhyaśanaśītasnigdhagurumadhurāhārapriyatvād viśeṣeṇa bālānāṃ bhavanti teṣāmevālpabastikāyatvād anupacitamāṃsatvācca basteḥ sukhagrahaṇāharaṇā bhavanti mahatāṃ tu śukrāśmarī śukranimittā bhavati ca+basteḥ
ḥ abhitas → ḥ 'bhitaḥ	visarga	1	0.0	1	Suśrutasaṃhitā(1)	maithunavighātād atimaithunādvā śukraṃ calitamanirgacchadvimārgagamanādanilo 'bhitaḥ saṃgṛhya meḍhravṛṣaṇayor antare saṃharati saṃhṛtya copaśoṣayati sā mūtramārgamāvṛṇoti mūtrakṛcchraṃ bastivedanāṃ vṛṣaṇayoś ca śvayathumāpādayati pīḍitamātre ca tasminneva pradeśe pravilayamāpadyate tāṃ śukrāśmarīmiti vidyāt anilaḥ+'bhitaḥ
abhitas s → 'bhitaḥ s	consonant / other	1	0.0	1	Suśrutasaṃhitā(1)	maithunavighātād atimaithunādvā śukraṃ calitamanirgacchadvimārgagamanādanilo 'bhitaḥ saṃgṛhya meḍhravṛṣaṇayor antare saṃharati saṃhṛtya copaśoṣayati sā mūtramārgamāvṛṇoti mūtrakṛcchraṃ bastivedanāṃ vṛṣaṇayoś ca śvayathumāpādayati pīḍitamātre ca tasminneva pradeśe pravilayamāpadyate tāṃ śukrāśmarīmiti vidyāt 'bhitaḥ+saṃgṛhya
vastiḥ v → bastir v	visarga	1	0.0	1	Suśrutasaṃhitā(1)	bastir vastiśiraścaiva pauruṣaṃ vṛṣaṇau gudaḥ bastir+vastiśiraḥ
p → stiśiraścaiva p	consonant / other	1	0.0	1	Suśrutasaṃhitā(1)	bastir vastiśiraścaiva pauruṣaṃ vṛṣaṇau gudaḥ eva→vastiśiraścaiva +pauruṣaṃ
ṃdarāṇām n → ndarāṇāṃ n	anusvāra / nasal	1	0.0	1	Suśrutasaṃhitā(1)	athāto bhagandarāṇāṃ nidānaṃ vyākhyāsyāmaḥ bhagandarāṇāṃ+nidānaṃ
ṃdarāḥ bh → ndarā bh	visarga	1	0.0	1	Suśrutasaṃhitā(1)	vātapittaśleṣmasannipātāgantunimittāḥ śataponakoṣṭragrīvaparisrāviśambūkāvartonmārgiṇo yathāsaṃkhyaṃ pañca bhagandarā bhavanti te tu bhagagudabastipradeśadāraṇācca bhagandarā ityucyante bhagandarā+bhavanti
ṃdarāḥ i → ndarā i	visarga	1	0.0	1	Suśrutasaṃhitā(1)	vātapittaśleṣmasannipātāgantunimittāḥ śataponakoṣṭragrīvaparisrāviśambūkāvartonmārgiṇo yathāsaṃkhyaṃ pañca bhagandarā bhavanti te tu bhagagudabastipradeśadāraṇācca bhagandarā ityucyante bhagandarā+iti
ṃdaram p → ndaraṃ p	anusvāra / nasal	1	0.0	1	Suśrutasaṃhitā(1)	śleṣmā tu prakupitaḥ samīraṇenādhaḥ preritaḥ pūrvavadavasthitaḥ śuklāvabhāsāṃ sthirāṃ kaṇḍūmatīṃ piḍakāṃ janayati sāsya kaṇḍvādīn vedanāviśeṣāñjanayati apratikriyamāṇā ca pākam upaiti vraṇaśca kaṭhinaḥ saṃrambhī kaṇḍūprāyaḥ picchilamajasramāsrāvaṃ sravati upekṣitaś ca vātamūtrapurīṣaretāṃsi visṛjati taṃ bhagandaraṃ parisrāviṇamityācakṣate bhagandaraṃ+parisrāviṇam
abhyantaram p → 'bhyantaraṃ p	anusvāra / nasal	1	0.0	1	Suśrutasaṃhitā(1)	mithyāhārācārasya viśeṣād guruviruddhāsātmyājīrṇāhitāśinaḥ snehapītasya vāntasya vā vyāyāmagrāmyadharmasevino grāmyānūpaudakamāṃsāni vā payasābhīkṣṇamaśnato yo vā majjatyapsūṣmābhitaptaḥ sahasā chardiṃ vā pratihanti tasya pittaśleṣmāṇau prakupitau parigṛhyānilaḥ pravṛddhastiryaggāḥ sirāḥ samprapadya samuddhūya bāhyaṃ mārgaṃ prati samantādvikṣipati yatra yatra ca doṣo vikṣipto niścarati tatra tatra maṇḍalāni prādurbhavanti evaṃ samutpannastvaci doṣastatra tatra ca parivṛddhiṃ prāpyāpratikriyamāṇo 'bhyantaraṃ pratipadyate dhātūn abhidūṣayan 'bhyantaraṃ+pratipadyate
_ k → kṣatavisarpaṇamasṛjaḥ k	consonant / other	1	0.0	1	Suśrutasaṃhitā(1)	tasya pūrvarūpāṇi tvakpāruṣyamakasmādromaharṣaḥ kaṇḍūḥ svedabāhulyam asvedanaṃ vāṅgapradeśānāṃ svāpaḥ kṣatavisarpaṇamasṛjaḥ kṛṣṇatā ceti _→kṣatavisarpaṇamasṛjaḥ +kṛṣṇatā
ā p → at p	consonant / other	1	0.0	1	Suśrutasaṃhitā(1)	tvakkocabhedasvapanāṅgasādāḥ kuṣṭhe mahatpūrvayute bhavanti mahā+pūrva→mahatpūrvayute
a _ → a kacchūḥ	consonant / other	1	0.0	1	Suśrutasaṃhitā(1)	sphoṭaiḥ sadāhair ati saiva kacchūḥ sphikpāṇipādaprabhavair nirūpyā eva+kacchūḥ
_ s → kacchūḥ s	consonant / other	1	0.0	1	Suśrutasaṃhitā(1)	sphoṭaiḥ sadāhair ati saiva kacchūḥ sphikpāṇipādaprabhavair nirūpyā kacchūḥ+sphic
ḥ aṅgānām → ḥ 'ṅgānāṃ	visarga	1	0.0	1	Suśrutasaṃhitā(1)	kauṇyaṃ gatikṣayo 'ṅgānāṃ sambhedaḥ kṣatasarpaṇam kṣayaḥ+'ṅgānāṃ
aṅgānām s → 'ṅgānāṃ s	anusvāra / nasal	1	0.0	1	Suśrutasaṃhitā(1)	kauṇyaṃ gatikṣayo 'ṅgānāṃ sambhedaḥ kṣatasarpaṇam 'ṅgānāṃ+sambhedaḥ
ḥ asādhyatamāḥ → ḥ 'sādhyatamā	visarga	1	0.0	1	Suśrutasaṃhitā(1)	tatra kaphād udakekṣuvālikāsurāsikatāśanair lavaṇapiṣṭasāndraśukraphenamehā daśa sādhyā doṣadūṣyāṇāṃ samakriyatvāt pittānnīlaharidrāmlakṣāramañjiṣṭhāśoṇitamehāḥ ṣaḍ yāpyā doṣadūṣyāṇāṃ viṣamakriyatvāt vātāt sarpirvasākṣaudrahastimehāścatvāro 'sādhyatamā mahātyayikatvāt catvāraḥ+'sādhyatamā
asādhyatamāḥ m → 'sādhyatamā m	visarga	1	0.0	1	Suśrutasaṃhitā(1)	tatra kaphād udakekṣuvālikāsurāsikatāśanair lavaṇapiṣṭasāndraśukraphenamehā daśa sādhyā doṣadūṣyāṇāṃ samakriyatvāt pittānnīlaharidrāmlakṣāramañjiṣṭhāśoṇitamehāḥ ṣaḍ yāpyā doṣadūṣyāṇāṃ viṣamakriyatvāt vātāt sarpirvasākṣaudrahastimehāścatvāro 'sādhyatamā mahātyayikatvāt 'sādhyatamā+mahā
naḥ d → ṇo d	visarga	1	0.0	1	Suśrutasaṃhitā(1)	tatra vasāmedobhyāmabhipannaśarīrasya tribhir doṣaiścānugatadhātoḥ pramehiṇo daśa piḍakā jāyante pramehiṇo+daśa
j → raṇācca j	consonant / other	1	0.0	1	Suśrutasaṃhitā(1)	snehādimithyācaraṇācca jantor vṛddhiṃ gatāḥ koṣṭhamabhiprapannāḥ ca→snehādimithyācaraṇācca +jantor
ṃprasaktam p → mprasaktaṃ p	anusvāra / nasal	1	0.0	1	Suśrutasaṃhitā(1)	sa cāturo mūrcchati samprasaktaṃ pāṇḍuḥ kṛśaḥ śuṣyati tṛṣṇayā ca samprasaktaṃ+pāṇḍuḥ
e y → asmin y	consonant / other	1	0.0	1	Suśrutasaṃhitā(1)	savyetarasmin yakṛti praduṣṭe jñeyaṃ yakṛddālyudaraṃ tadeva itare→savyetarasmin +yakṛti
a _ → a sakthnā	consonant / other	1	0.0	1	Suśrutasaṃhitā(1)	tatra kaściddvābhyāṃ sakthibhyāṃ yonimukhaṃ pratipadyate kaścidābhugnaikasakthirekena kaścidābhugnasakthiśarīraḥ sphigdeśena tiryagāgataḥ kaściduraḥpārśvapṛṣṭhānām anyatamena yonidvāraṃ pidhāyāvatiṣṭhate antaḥpārśvāpavṛttaśirāḥ kaścidekena bāhunā kaścidābhugnaśirā bāhudvayena kaścidābhugnamadhyo hastapādaśirobhiḥ kaścidekena sakthnā yonimukhaṃ pratipadyate 'pareṇa pāyum ityaṣṭavidhā mūḍhagarbhagatiruddiṣṭā samāsena ekena+sakthnā
_ y → sakthnā y	consonant / other	1	0.0	1	Suśrutasaṃhitā(1)	tatra kaściddvābhyāṃ sakthibhyāṃ yonimukhaṃ pratipadyate kaścidābhugnaikasakthirekena kaścidābhugnasakthiśarīraḥ sphigdeśena tiryagāgataḥ kaściduraḥpārśvapṛṣṭhānām anyatamena yonidvāraṃ pidhāyāvatiṣṭhate antaḥpārśvāpavṛttaśirāḥ kaścidekena bāhunā kaścidābhugnaśirā bāhudvayena kaścidābhugnamadhyo hastapādaśirobhiḥ kaścidekena sakthnā yonimukhaṃ pratipadyate 'pareṇa pāyum ityaṣṭavidhā mūḍhagarbhagatiruddiṣṭā samāsena sakthnā+yonimukhaṃ
e asthi → e 'sth	consonant / other	1	0.0	1	Suśrutasaṃhitā(1)	bhinne 'sthni niḥsravet pūyam etadasthigataṃ viduḥ bhinne+'sthni
c → latīva c	consonant / other	1	0.0	1	Suśrutasaṃhitā(1)	dandahyate dhūpyati cūṣyate ca pāpacyate prajvalatīva cāpi iva→prajvalatīva +ca
aḥ avivarṇaḥ → o 'vivarṇo	visarga	1	0.0	1	Suśrutasaṃhitā(1)	śīto 'vivarṇo 'lparujo 'tikaṇḍūḥ pāṣāṇavat saṃhananopapannaḥ śīto+'vivarṇo
avivarṇaḥ a → 'vivarṇo a	visarga	1	0.0	1	Suśrutasaṃhitā(1)	śīto 'vivarṇo 'lparujo 'tikaṇḍūḥ pāṣāṇavat saṃhananopapannaḥ 'vivarṇo+alpa
ḥ ā → stair ā	visarga	1	0.0	1	Suśrutasaṃhitā(1)	vyāyāmajātair abalasya taistair ākṣipya vāyurhi sirāpratānam tebhiḥ→taistair +ākṣipya
_ s → aruk s	consonant / other	1	0.0	1	Suśrutasaṃhitā(1)	aruk sa evāpyacalo mahāṃśca marmotthitaścāpi vivarjanīyaḥ aruk+sa
_ k → kaphaścālparujaṃ k	anusvāra / nasal	1	0.0	1	Suśrutasaṃhitā(1)	granthiṃ sthiraṃ vṛttamathāyataṃ vā snigdhaṃ kaphaścālparujaṃ karoti _→kaphaścālparujaṃ +karoti
_ p → 'lparujaḥ p	consonant / other	1	0.0	1	Suśrutasaṃhitā(1)	kaṇḍūyutāste 'lparujaḥ prabhinnāḥ sravanti naśyanti bhavanti cānye _→'lparujaḥ +prabhinnāḥ
_ m → mandarujaṃ m	anusvāra / nasal	1	0.0	1	Suśrutasaṃhitā(1)	vṛttaṃ sthiraṃ mandarujaṃ mahāntamanalpamūlaṃ ciravṛddhyapākam _→mandarujaṃ +mahantam
ḥ _ → ḥ nīrug	visarga	1	0.0	1	Suśrutasaṃhitā(1)	snigdho mṛduḥ pāṇḍuraniṣṭagandho medaḥkṛto nīrug athātikaṇḍūḥ kṛtaḥ+nīrug
e anuśabdam → e 'nuśabdaṃ	anusvāra / nasal	1	0.0	1	Suśrutasaṃhitā(1)	snigdhāsyatā tasya bhavecca jantor gale 'nuśabdaṃ kurute ca nityam gale+'nuśabdaṃ
anuśabdam k → 'nuśabdaṃ k	anusvāra / nasal	1	0.0	1	Suśrutasaṃhitā(1)	snigdhāsyatā tasya bhavecca jantor gale 'nuśabdaṃ kurute ca nityam 'nuśabdaṃ+kurute
aḥ anyatamaḥ → o 'nyatamo	visarga	1	0.0	1	Suśrutasaṃhitā(1)	adhaḥ prakupito 'nyatamo hi doṣaḥ phalakośavāhinīrabhiprapadya dhamanīḥ phalakoṣayor vṛddhiṃ janayati tāṃ vṛddhimityācakṣate prakupito+'nyatamo
anyatamaḥ h → 'nyatamo h	visarga	1	0.0	1	Suśrutasaṃhitā(1)	adhaḥ prakupito 'nyatamo hi doṣaḥ phalakośavāhinīrabhiprapadya dhamanīḥ phalakoṣayor vṛddhiṃ janayati tāṃ vṛddhimityācakṣate 'nyatamo+hi
śayoḥ v → ṣayor v	visarga	1	0.0	1	Suśrutasaṃhitā(1)	adhaḥ prakupito 'nyatamo hi doṣaḥ phalakośavāhinīrabhiprapadya dhamanīḥ phalakoṣayor vṛddhiṃ janayati tāṃ vṛddhimityācakṣate phalakoṣayor+vṛddhiṃ
m _ → ṃ vṛṣaṇakacchūḥ	anusvāra / nasal	1	0.0	1	Suśrutasaṃhitā(1)	tadyathā ajagallikā yavaprakhyā andhālajī vivṛtā kacchapikā valmīkam indravṛddhā panasikā pāṣāṇagardabhaḥ jālagardabhaḥ kakṣā visphoṭakaḥ agnirohiṇī cippaṃ kunakhaḥ anuśayī vidārikā śarkarārbudaṃ pāmā vicarcikā rakasā pādadārikā kadaram alasendraluptau dāruṇakaḥ aruṃṣikā palitaṃ masūrikā yauvanapiḍakā padminīkaṇṭakaḥ jatumaṇiḥ maśakaḥ carmakīlaḥ tilakālakaḥ nyacchaṃ vyaṅgaḥ parivartikā avapāṭikā niruddhaprakaśaḥ saṃniruddhagudaḥ ahipūtanaṃ vṛṣaṇakacchūḥ gudabhraṃśaśceti ahipūtanaṃ+vṛṣaṇakacchūḥ
_ g → vṛṣaṇakacchūḥ g	consonant / other	1	0.0	1	Suśrutasaṃhitā(1)	tadyathā ajagallikā yavaprakhyā andhālajī vivṛtā kacchapikā valmīkam indravṛddhā panasikā pāṣāṇagardabhaḥ jālagardabhaḥ kakṣā visphoṭakaḥ agnirohiṇī cippaṃ kunakhaḥ anuśayī vidārikā śarkarārbudaṃ pāmā vicarcikā rakasā pādadārikā kadaram alasendraluptau dāruṇakaḥ aruṃṣikā palitaṃ masūrikā yauvanapiḍakā padminīkaṇṭakaḥ jatumaṇiḥ maśakaḥ carmakīlaḥ tilakālakaḥ nyacchaṃ vyaṅgaḥ parivartikā avapāṭikā niruddhaprakaśaḥ saṃniruddhagudaḥ ahipūtanaṃ vṛṣaṇakacchūḥ gudabhraṃśaśceti vṛṣaṇakacchūḥ+gudabhraṃśaḥ
_ s → śophamalparujaṃ s	anusvāra / nasal	1	0.0	1	Suśrutasaṃhitā(1)	hanusandhau samudbhūtaṃ śophamalparujaṃ sthiram _→śophamalparujaṃ +sthiram
t _ → t kaṇḍūṃ	anusvāra / nasal	1	0.0	1	Suśrutasaṃhitā(1)	yadā praklidyate svedāt kaṇḍūṃ saṃjanayettadā svedāt+kaṇḍūṃ
_ s → kaṇḍūṃ s	anusvāra / nasal	1	0.0	1	Suśrutasaṃhitā(1)	yadā praklidyate svedāt kaṇḍūṃ saṃjanayettadā kaṇḍūṃ+saṃjanayet
_ t → prāhurvṛṣaṇakacchūṃ t	anusvāra / nasal	1	0.0	1	Suśrutasaṃhitā(1)	prāhurvṛṣaṇakacchūṃ tāṃ śleṣmaraktaprakopajām _→prāhurvṛṣaṇakacchūṃ +tāṃ
_ v → kaphāsṛgbhyāṃ v	anusvāra / nasal	1	0.0	1	Suśrutasaṃhitā(1)	so 'vamanthaḥ kaphāsṛgbhyāṃ vedanāromaharṣakṛt _→kaphāsṛgbhyāṃ +vedanā
aḥ adhimāṃsaḥ → o 'dhimāṃso	visarga	1	0.0	1	Suśrutasaṃhitā(1)	dantamūlagatāstu śītādo dantapuppuṭako dantaveṣṭakaḥ śauṣiro mahāśauṣiraḥ paridara upakuśo dantavaidarbho vardhano 'dhimāṃso nāḍyaḥ pañceti vardhano+'dhimāṃso
adhimāṃsaḥ n → 'dhimāṃso n	visarga	1	0.0	1	Suśrutasaṃhitā(1)	dantamūlagatāstu śītādo dantapuppuṭako dantaveṣṭakaḥ śauṣiro mahāśauṣiraḥ paridara upakuśo dantavaidarbho vardhano 'dhimāṃso nāḍyaḥ pañceti 'dhimāṃso+nāḍyaḥ
arbudam m → 'rbudaṃ m	anusvāra / nasal	1	0.0	1	Suśrutasaṃhitā(1)	tālugatāstu galaśuṇḍikā tuṇḍikerī adhruṣaḥ kacchapo 'rbudaṃ māṃsasaṃghātas tālupuppuṭas tāluśoṣas tālupāka iti 'rbudaṃ+māṃsasaṃghātas
_ t → śleṣmāsṛgbhyāṃ t	anusvāra / nasal	1	0.0	1	Suśrutasaṃhitā(1)	śleṣmāsṛgbhyāṃ tālumūlāt pravṛddho dīrghaḥ śopho dhmātabastiprakāśaḥ _→śleṣmāsṛgbhyāṃ +tālu
aḥ adhruṣaḥ → o 'dhruṣo	visarga	1	0.0	1	Suśrutasaṃhitā(1)	śophaḥ stabdho lohitastāludeśe raktājjñeyaḥ so 'dhruṣo rugjvarāḍhyaḥ so+'dhruṣo
adhruṣaḥ r → 'dhruṣo r	visarga	1	0.0	1	Suśrutasaṃhitā(1)	śophaḥ stabdho lohitastāludeśe raktājjñeyaḥ so 'dhruṣo rugjvarāḍhyaḥ 'dhruṣo+ruj
ḥ avedanaḥ → ḥ 'vedano	visarga	1	0.0	1	Suśrutasaṃhitā(1)	kūrmotsanno 'vedano 'śīghrajanmārakto jñeyaḥ kacchapaḥ śleṣmaṇā syāt utsannaḥ+'vedano
avedanaḥ a → 'vedano a	visarga	1	0.0	1	Suśrutasaṃhitā(1)	kūrmotsanno 'vedano 'śīghrajanmārakto jñeyaḥ kacchapaḥ śleṣmaṇā syāt 'vedano+aśīghra
_ s → nīruk s	consonant / other	1	0.0	1	Suśrutasaṃhitā(1)	nīruk sthāyī kolamātraḥ kaphāt syānmedoyuktāt puppuṭastāludeśe nīruk+sthāyī
m k → sādhyastaṃ k	anusvāra / nasal	1	0.0	1	Suśrutasaṃhitā(1)	kharaḥ sthiraḥ śastranipātasādhyastaṃ kaṇṭhaśālūkamiti bruvanti tam→śastranipātasādhyastaṃ +kaṇṭhaśālūkam
_ s → prāṇapraṇut s	consonant / other	1	0.0	1	Suśrutasaṃhitā(1)	sa māṃsatānaḥ kathito 'valambī prāṇapraṇut sarvakṛto vikāraḥ _→prāṇapraṇut +sarvakṛto
ā p → ṇi p	consonant / other	1	0.0	1	Suśrutasaṃhitā(1)	tatra vaikārikād ahaṃkārāt taijasasahāyāt tallakṣaṇānyevaikādaśendriyāṇyutpadyante tad yathā śrotratvakcakṣurjihvāghrāṇavāgghastopasthapāyupādamanāṃsīti tatra pūrvāṇi pañca buddhīndriyāṇi itarāṇi pañca karmendriyāṇi ubhayātmakaṃ manaḥ pūrvāṇi+pañca
adhibhūtam s → 'dhibhūtaṃ s	anusvāra / nasal	1	0.0	1	Suśrutasaṃhitā(1)	svaḥ svaścaiṣāṃ viṣayo 'dhibhūtaṃ svayamadhyātmam adhidaivataṃ buddher brahmā ahaṃkārasyeśvaraḥ manasaś candramā diśaḥ śrotrasya tvaco vāyuḥ sūryaś cakṣuṣo rasanasyāpaḥ pṛthivī ghrāṇasya vāco 'gniḥ hastayor indraḥ pādayor viṣṇuḥ pāyor mitraḥ prajāpatirupasthasyeti 'dhibhūtaṃ+svayam
aḥ ajñānam → o 'jñānaṃ	visarga	1	0.0	1	Suśrutasaṃhitā(1)	sāttvikās tv ānṛśaṃsyaṃ saṃvibhāgarucitā titikṣā satyaṃ dharma āstikyaṃ jñānaṃ buddhirmedhā smṛtir dhṛtir anabhiṣaṅgaś ca rājasās tu duḥkhabahulatāṭanaśīlatādhṛtir ahaṃkāra ānṛtikatvam akāruṇyaṃ dambho māno harṣaḥ krodhaśca tāmasāstuviṣāditvaṃ nāstikyamadharmaśīlatā buddher nirodho 'jñānaṃ durmedhastvam akarmaśīlatā nidrālutvaṃ ceti nirodho+'jñānaṃ
ajñānam d → 'jñānaṃ d	anusvāra / nasal	1	0.0	1	Suśrutasaṃhitā(1)	sāttvikās tv ānṛśaṃsyaṃ saṃvibhāgarucitā titikṣā satyaṃ dharma āstikyaṃ jñānaṃ buddhirmedhā smṛtir dhṛtir anabhiṣaṅgaś ca rājasās tu duḥkhabahulatāṭanaśīlatādhṛtir ahaṃkāra ānṛtikatvam akāruṇyaṃ dambho māno harṣaḥ krodhaśca tāmasāstuviṣāditvaṃ nāstikyamadharmaśīlatā buddher nirodho 'jñānaṃ durmedhastvam akarmaśīlatā nidrālutvaṃ ceti 'jñānaṃ+durmedhas
ḥ apaḥ → ḥ āpas	visarga	1	0.0	1	Suśrutasaṃhitā(1)	tatra sattvabahulamākāśaṃ rajobahulo vāyuḥ sattvarajobahulo 'gniḥ sattvatamobahulā āpas tamobahulā pṛthivīti bahulāḥ+āpas
āyāḥ h → yā h	visarga	1	0.0	1	Suśrutasaṃhitā(1)	taruṇyā hitasevinyās tam alpopadravaṃ bhiṣak taruṇyā+hita
bhiḥ a → abhir a	visarga	1	0.0	1	Suśrutasaṃhitā(1)	tatra strīpuṃsayoḥ saṃyoge tejaḥ śarīrādvāyurudīrayati tatas tejo'nilasaṃnipātācchukraṃ cyutaṃ yonim abhipratipadyate saṃsṛjyate cārtavena tato 'gnīṣomasaṃyogāt saṃsṛjyamāno garbhāśayamanupratipadyate kṣetrajño vedayitā spraṣṭā ghrātā draṣṭā śrotā rasayitā puruṣaḥ sraṣṭā gantā sākṣī dhātā vaktā yaḥ ko 'sāv ityevamādibhiḥ paryāyavācakair nāmabhir abhidhīyate daivasaṃyogādakṣayo 'cintyo bhūtātmanā sahānvakṣaṃ sattvarajastamobhir daivāsurair aparaiś ca bhāvair vāyunābhipreryamāṇo garbhāśayam anupraviśyāvatiṣṭhate nāmabhir+abhidhīyate
acintyaḥ bh → 'cintyo bh	visarga	1	0.0	1	Suśrutasaṃhitā(1)	tatra strīpuṃsayoḥ saṃyoge tejaḥ śarīrādvāyurudīrayati tatas tejo'nilasaṃnipātācchukraṃ cyutaṃ yonim abhipratipadyate saṃsṛjyate cārtavena tato 'gnīṣomasaṃyogāt saṃsṛjyamāno garbhāśayamanupratipadyate kṣetrajño vedayitā spraṣṭā ghrātā draṣṭā śrotā rasayitā puruṣaḥ sraṣṭā gantā sākṣī dhātā vaktā yaḥ ko 'sāv ityevamādibhiḥ paryāyavācakair nāmabhir abhidhīyate daivasaṃyogādakṣayo 'cintyo bhūtātmanā sahānvakṣaṃ sattvarajastamobhir daivāsurair aparaiś ca bhāvair vāyunābhipreryamāṇo garbhāśayam anupraviśyāvatiṣṭhate 'cintyo+bhūtātmanā
_ n → paryāyavācakair n	consonant / other	1	0.0	1	Suśrutasaṃhitā(1)	tatra strīpuṃsayoḥ saṃyoge tejaḥ śarīrādvāyurudīrayati tatas tejo'nilasaṃnipātācchukraṃ cyutaṃ yonim abhipratipadyate saṃsṛjyate cārtavena tato 'gnīṣomasaṃyogāt saṃsṛjyamāno garbhāśayamanupratipadyate kṣetrajño vedayitā spraṣṭā ghrātā draṣṭā śrotā rasayitā puruṣaḥ sraṣṭā gantā sākṣī dhātā vaktā yaḥ ko 'sāv ityevamādibhiḥ paryāyavācakair nāmabhir abhidhīyate daivasaṃyogādakṣayo 'cintyo bhūtātmanā sahānvakṣaṃ sattvarajastamobhir daivāsurair aparaiś ca bhāvair vāyunābhipreryamāṇo garbhāśayam anupraviśyāvatiṣṭhate _→paryāyavācakair +nāmabhir
ibhyām t → ībhyāṃ t	anusvāra / nasal	1	0.0	1	Suśrutasaṃhitā(1)	māsenopacitaṃ kāle dhamanībhyāṃ tadārtavam dhamanībhyāṃ+tat
_ s → caikāntataḥ s	consonant / other	1	0.0	1	Suśrutasaṃhitā(1)	tadā prabhṛti vyavāyaṃ vyāyāmam atitarpaṇam atikarśanaṃ divāsvapnaṃ rātrijāgaraṇaṃ śokaṃ yānārohaṇaṃ bhayam utkuṭukāsanaṃ caikāntataḥ snehādikriyāṃ śoṇitamokṣaṇaṃ cākāle vegavidhāraṇaṃ ca na seveta _→caikāntataḥ +sneha
