locus_prefix	fold	work_key	display	era	date_range	via	tier	reason	flags	notes	n_rows
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
277,a, No.	277 a no					no-match	no-match	no curated identity matches this resolved locus			0
MAHĀBHĀRATA 1,2037 → vulg	mahabharata 1 2037 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
PĀṆINI'S acht Bücher grammatischer Regel 4,1,39, Vārtt.	panini s acht bucher grammatischer regel 1 39 vartt					no-match	no-match	no curated identity matches this resolved locus			0
ṚGVEDA. Es wird nach Maṇḍala 9,5—24	rgveda es wird nach mandala 9 2	rgveda	Ṛgveda	vedic	c. 1500-1000 BCE (composite; thematically grouped)	dharmamitra	canon_dm	DM family mode 20/20 maṇḍala chunks Vedic; corroborates the seed's DCS call			0
MAHĀBHĀRATA 1,106 → vulg	mahabharata 1 106 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 1, 2048 → vulg	mahabharata 1 208 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 2,441 → vulg	mahabharata 2 1 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 2, 1917 → vulg	mahabharata 2 1917 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 2, 2038 → vulg	mahabharata 2 2038 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 3,510 → vulg	mahabharata 3 10 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 9,2854 → vulg	mahabharata 9 28 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
MAHĀBHĀRATA 3,8364 → vulg	mahabharata 3 836 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 1,797. fgg → vulg	mahabharata 1 797 fgg vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 1, 829. fgg → vulg	mahabharata 1 829 fgg vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 1, 1550 → vulg	mahabharata 1 10 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 14,1714 → vulg	mahabharata 1 171 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 14, 1732 → vulg	mahabharata 1 1732 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
MAHĀBHĀRATA 1,2627 → vulg	mahabharata 1 2627 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 3,1676 → vulg	mahabharata 3 1676 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 3, 13219 → vulg	mahabharata 3 13219 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 3, 14370 → vulg	mahabharata 3 1370 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 13,831. fgg → vulg	mahabharata 13 831 fgg vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 3,188 → vulg	mahabharata 3 188 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 13,7391 → vulg	mahabharata 13 7391 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
SIDDHĀNTAKAUMUDĪ 251,a, pen	siddhantakaumudi 21 a pen					no-match	no-match	no curated identity matches this resolved locus			0
MAHĀBHĀRATA 6,232 → vulg	mahabharata 6 232 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 3,11836 → vulg	mahabharata 3 11836 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 8,2055 → vulg	mahabharata 8 20 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
MAHĀBHĀRATA 3,10426 → vulg	mahabharata 3 1026 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 14,2846 → vulg	mahabharata 1 286 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 6,359 → vulg	mahabharata 6 39 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
VIṢṆUPURĀṆA. Es wird die WILSON'sche Ueb 470, N.	visnupurana es wird die wilson sche ueb 70 n					no-match	no-match	no curated identity matches this resolved locus			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
MAHĀBHĀRATA 4,1075 → vulg	mahabharata 107 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 6,2778 → vulg	mahabharata 6 2778 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 6, 2832 → vulg	mahabharata 6 2832 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 9,862 → vulg	mahabharata 9 862 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 18,224 → vulg	mahabharata 18 22 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
MAHĀBHĀRATA 3,2403 → vulg	mahabharata 3 203 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 12,5837 → vulg	mahabharata 12 837 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
MAHĀBHĀRATA 1,1036 → vulg	mahabharata 1 1036 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 1, 1815 → vulg	mahabharata 1 181 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 1, 4031 → vulg	mahabharata 1 031 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 1, 6190 → vulg	mahabharata 1 6190 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 4,1141 → vulg	mahabharata 111 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
MAHĀBHĀRATA 1, 3051 → vulg	mahabharata 1 301 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 1, 4032 → vulg	mahabharata 1 032 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 1, 4170 → vulg	mahabharata 1 170 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 1, 6760 → vulg	mahabharata 1 6760 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 3,16631 → vulg	mahabharata 3 16631 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
